Legal Name,DBA Name,Street,City,State,Zip,Country,Phone No,Fax No,User Count,DealerTrack Id,Lender Dealer Id,Lender Rep Name,Lender Rep Id,Enrollment Date,Agreement Received,Enrollment Phase,Enrollment Update Date,Modified Date,Status,Dept,Alternate Street,Independent,PaymentTrack Id,Equifax Signup Date,Transunion Signup Date,Experian Reseller Signup Date,Experian Direct Signup Date,Cost Center,Loan App Id,Lease App Id,Loan Svc Id,Lease Svc Id,Prime Id,Subprime Id,Subvented Id,Match Change Date,Previous Match Dealerid,Grace Period Status,Agreement Required By Date,Agreement Version,Agreement Signatory,Overall Use 30 Days,Equifax Status,Experian Status,Transunion Status,PaymentTrack Status,eContract Status,Dealer File Override,Override Expiration,Vehicle Type,Created Date,Activated Date,Equifax Use 30 Days,Experian Use 30 Days,Transunion Use 30 Days,DMS Use 30 Day,DMS Status,BookOut Kelley Status,BookOut Kelley 30 Day Activity,BookOut NADA Status,BookOut NADA 30 Day Activity,BookOut Black Status,BookOut Black 30 Day Activity,SalesDesk Status,SalesDesk 30 Day Activity,BookOut Pro Status,BookOut Pro 30 Day Activity,EFTFAX,eMenu Status,eMenu Version,eMenu 30 Day Activity,Independent Preference,Independent Status,Independent 30 Day Activity,Notes,uniFI Indicator
"Cherry Hill Porsche, Audi, & Vw","Cherry Hill Porsche, Audi, & Vw - Darwin","2261 Rt 70 W","Cherry Hill","NJ","08002","USA","8566655370","","17","103296","2602","","","02/01/01 02:00:00","04/02/03 09:31:31","Access Agreement Received","09/22/15","05/14/20 03:52:12","A","","","","*","*","*","*","*","*","","","","","","","","05/14/20 13:08:10","824868","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Concordville Subaru Glen Mills","Concordville Subaru Glen Mills - Darwin","1713 Wilmington West Chester Pike","Glen Mills","PA","19342","USA","8883516493","","30","103749","6854","","","02/01/01 14:00:00","07/14/03 17:34:34","Access Agreement Received","07/13/05","05/27/20 03:45:22","A","","","","*","*","*","*","*","*","","","","","","","","07/07/20 12:48:16","251654","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","A","*","A","*","A","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Westbrook Honda","Westbrook Honda - Darwin","1 Flat Rock Place","Westbrook","CT","06498","USA","8603999300","","9","103781","2664","","","12/16/02 10:17:36","09/03/05 10:00:08","Access Agreement Received","02/18/11","04/10/20 03:49:27","A","","","","*","*","*","*","*","*","","","","","","","","04/10/20 04:46:50","624711","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Honda Of Watertown","Honda Of Watertown - Darwin","816 Straits Tpk","Watertown","CT","06795","USA","8609453611","","14","104364","2661","","","05/14/02 16:11:25","08/20/03 12:08:13","Access Agreement Received","02/10/05","04/10/20 03:49:27","A","","","","*","*","*","*","*","*","","","","","","","","04/10/20 04:46:50","624706","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Honda Of Tenafly","Honda Of Tenafly - Darwin","28 County Rd","Tenefly","NJ","07670","USA","8666809726","","73","104365","6064","","","11/11/02 20:27:09","10/24/03 14:40:57","Access Agreement Received","10/04/12","06/19/20 03:43:12","A","","","","*","*","*","*","*","*","","","","","","","","06/19/20 04:41:03","442848","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","A","*","A","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Autoteam Delaware Cadillac, Subaru, Kia","Autoteam Delaware Cadillac, Subaru, Kia - Darwin","1606 Pennsylvania Avenue","Wilmington","DE","19806","USA","8663288069","","11","104754","2894","","","01/11/02 16:54:42","03/28/03 10:39:58","Access Agreement Received","03/28/03","04/30/20 03:53:20","A","","","","*","*","*","*","*","*","","","","","","","","04/23/20 04:46:44","634717","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Anderson Toyota Lexus","Anderson Toyota Lexus - Darwin","4100 N. Perryville","Loves Park","IL","61111","USA","8153978995","","10","105034","6678","","","09/18/03 15:52:28","09/18/03 15:55:58","Access Agreement Received","01/05/04","04/30/20 03:53:20","A","","","","*","*","*","*","*","*","","","","","","","","04/30/20 04:53:38","638438","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","A","*","A","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Ewald Cjdr Franklin","Ewald Cjdr Franklin - Darwin","6319 S 108th St","Franklin","WI","53132","USA","4144272000","","16","105050","4732","","","02/01/01 14:00:00","04/29/03 14:43:31","Access Agreement Received","04/29/03","06/17/20 03:52:14","A","","","","*","*","*","*","*","*","","","","","","","","05/14/20 08:46:55","824950","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","I","*","I","*","","*","*","*","*","*","","*","*","*","Y","*","*","","Yes"
"Donaldsons Inc. Subaru","Donaldsons Inc. Subaru - Darwin","5700 Sunrise Hwy","Sayville","NY","11782","USA","6315676400","","3","105173","7044","","","11/10/03 15:16:22","11/10/03 15:22:48","Access Agreement Received","12/17/04","06/25/20 03:50:58","A","","","","*","*","*","*","*","*","","","","","","","","","","*","*","*","*","*","*","*","*","*","*","N","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","A","*","I","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Doyle Subaru","Doyle Subaru - Darwin","740 Ridge Rd","Webster","NY","14580","USA","5856715399","","34","105249","6819","","","02/01/01 14:00:00","05/14/03 19:51:47","Access Agreement Received","10/05/12","05/27/20 03:45:22","A","","","","*","*","*","*","*","*","","","","","","","","05/27/20 04:45:23","831573","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Ed Carroll Motor Co","Ed Carroll Motor Co - Darwin","3003 S College Ave","Fort Collins","CO","80525","USA","9702263000","","57","105466","6724","","","07/10/02 03:08:12","07/14/03 12:21:25","Access Agreement Received","07/18/17","05/12/20 03:49:52","A","","","","*","*","*","*","*","*","","","","","","","","05/12/20 04:48:14","823040","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","A","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Ewald Chevrolet Buick","Ewald Chevrolet Buick - Darwin","36833 E Wisconsin Ave","Oconomowoc","WI","53066","USA","2525675555","","23","105748","4734","","","02/01/01 14:00:00","04/29/03 18:36:21","Access Agreement Received","04/29/03","05/21/20 03:50:23","A","","","","*","*","*","*","*","*","","","","","","","","05/21/20 09:36:40","828965","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","I","*","","*","*","*","*","*","","*","*","*","Y","*","*","","Yes"
"Ewald Cjdr Oconomowoc","Ewald Cjdr Oconomowoc - Darwin","36833 E Wisconsin Ave","Oconomowoc","WI","53066","USA","2625673400","","23","105749","4729","","","02/01/01 14:00:00","04/29/03 18:36:21","Access Agreement Received","04/29/03","06/17/20 03:52:14","A","","","","*","*","*","*","*","*","","","","","","","","05/21/20 09:35:47","105748","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","I","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Motorcars Acura Volvo","Motorcars Acura Volvo - Darwin","18123 Rockside Rd","Bedford","OH","44146","USA","8332167816","","6","105940","5160","","","02/19/02 09:45:52","05/06/03 12:30:31","Access Agreement Received","06/14/11","03/18/20 03:49:40","A","","","","*","*","*","*","*","*","","","","","","","","08/15/19 04:37:47","771867","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Five Star Subaru Of Oneonta, Inc","Five Star Subaru Of Oneonta, Inc. - Darwin","331 Chestnut St.","Oneonta","NY","13820","USA","6074320201","","3","106160","6728","","","08/29/02 09:42:34","04/16/03 11:24:50","Access Agreement Received","01/22/14","05/12/20 03:49:52","A","","","","*","*","*","*","*","*","","","","","","","","05/12/20 04:48:14","823042","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Holman Bmw Of Fort Lauderdale","Holman Bmw Of Fort Lauderdale - Darwin","1441 South Federal Hwy","Fort Lauderdale","FL","33316","USA","8777284973","","33","106597","3416","","","09/10/02 02:13:48","06/13/03 17:03:34","Access Agreement Received","09/16/15","05/07/20 03:44:16","A","","","","*","*","*","*","*","*","","","","","","","","05/11/20 15:32:29","792676","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Boston Volvo Cars","Boston Volvo Cars - Darwin","61 N Beacon St #101","Allston","MA","02134","USA","8559106428","","10","106863","4781","","","06/19/03 12:08:42","06/19/03 12:11:30","Access Agreement Received","02/15/12","07/22/20 03:44:33","A","","","","*","*","*","*","*","*","","","","","","","","07/22/20 04:44:34","562861","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Friendly Kia","Friendly Kia - Darwin","5819 Us Hwy 19","New Port Richey","FL","34652","USA","8335085533","","47","107029","3452","","","02/01/01 14:00:00","07/10/03 18:04:49","Access Agreement Received","04/30/04","04/02/20 03:46:45","A","","","","*","*","*","*","*","*","","","","","","","","04/03/20 11:35:40","590233","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","I","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Goldstein Subaru","Goldstein Subaru - Darwin","1754 Central Ave","Albany","NY","12205","USA","5186902244","","12","107151","6061","","","09/03/02 15:21:55","08/29/03 15:25:07","Access Agreement Received","08/17/11","07/17/20 03:43:36","A","","","","*","*","*","*","*","*","","","","","","","","07/17/20 04:41:59","561065","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","I","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Grubbs Infiniti","Grubbs Infiniti - Darwin","1500 E State Highway 114","Grapevine","TX","76051","USA","8173181200","","62","107394","6206","","","02/01/01 02:00:00","07/10/03 14:59:45","Access Agreement Received","08/15/17","03/18/20 03:49:40","A","","","","*","*","*","*","*","*","","","","","","","","05/22/20 09:27:12","983854","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Beyer Subaru Of Alexandria","Beyer Subaru Of Alexandria - Darwin","7416 Richmond Highway","Alexandria","VA","22306","USA","8669805791","","82","107427","2921","","","02/01/01 02:00:00","06/20/03 14:16:07","Access Agreement Received","01/27/15","03/18/20 03:49:40","A","","","","*","*","*","*","*","*","","","","","","","","12/11/19 04:47:52","884487","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Herb Chambers Honda In Boston","Herb Chambers Honda In Boston - Darwin","720 Morrissey Blvd","Dorchester","MA","02122","USA","8559222658","","13","107871","1709","","","05/22/02 10:27:10","04/02/03 17:55:52","Access Agreement Received","01/30/08","05/21/20 03:50:23","A","","","","*","*","*","*","*","*","","","","","","","","05/26/20 16:42:25","828776","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Herb Chambers Honda Of Burlington","Herb Chambers Honda Of Burlington - Darwin","33 Cambridge Street","Burlington","MA","01803","USA","8449062882","","9","107872","1715","","","02/27/02 13:59:21","04/14/03 10:17:04","Access Agreement Received","01/04/08","05/21/20 03:50:23","A","","","","*","*","*","*","*","*","","","","","","","","05/21/20 04:48:50","828777","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Herb Chambers Honda Of Seekonk","Herb Chambers Honda Of Seekonk - Darwin","185 Taunton Ave","Seekonk","MA","02771","USA","8334060978","","12","107873","1703","","","03/06/02 16:28:30","06/04/03 11:48:55","Access Agreement Received","06/04/03","05/30/20 03:50:16","A","","","","*","*","*","*","*","*","","","","","","","","05/21/20 04:48:50","828775","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Herb Chambers Bmw / Mini Of Boston","Herb Chambers Bmw / Mini Of Boston - Darwin","1168 Commonwealth Ave","Boston","MA","02134","USA","8449013125","","6","107874","1702","","","02/01/01 14:00:00","05/02/03 11:53:33","Access Agreement Received","01/30/08","05/30/20 03:50:16","A","","","","*","*","*","*","*","*","","","","","","","","05/16/20 04:47:39","826451","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Herb Chambers Mercedes-Benz Commercial Vans Boston","Herb Chambers Mercedes-Benz Commercial Vans Boston - Darwin","259 Mcgrath Highway","Somerville","MA","02143","USA","8773439294","","18","107877","1697","","","02/01/01 14:00:00","03/25/03 14:22:05","Access Agreement Received","12/06/07","05/21/20 03:50:23","A","","","","*","*","*","*","*","*","","","","","","","","08/15/19 04:37:47","771549","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Hoffman Audi Of East Hartford","Hoffman Audi Of East Hartford - Darwin","700 Connecticut Blvd","East Hartford","CT","06108","USA","8554106097","","106","108091","6835","","","02/21/03 10:56:14","04/23/03 16:31:12","Access Agreement Received","10/28/15","06/17/20 03:52:14","A","","","","*","*","*","*","*","*","","","","","","","","","","*","*","*","*","*","*","*","*","*","*","N","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Hoffman Honda","Hoffman Honda - Darwin","40 Albany Turnpike","West Simsbury","CT","06092","USA","8606513501","","77","108098","6839","","","01/16/02 10:57:10","03/25/03 14:02:16","Access Agreement Received","11/11/05","06/17/20 03:52:14","A","","","","*","*","*","*","*","*","","","","","","","","","","*","*","*","*","*","*","*","*","*","*","N","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Holman Infiniti","Holman Infiniti - Darwin","577 Route 38 West","Maple Shade","NJ","08052","USA","8562314400","","37","108144","3415","","","02/01/01 02:00:00","04/30/03 15:10:13","Access Agreement Received","09/16/15","05/12/20 03:49:52","A","","","","*","*","*","*","*","*","","","","","","","","05/12/20 04:48:14","822962","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Mercedes-Benz Of Cherry Hill","Mercedes-Benz Of Cherry Hill - Darwin","2151 Rt 70 W","Cherry Hill","NJ","08002","USA","8566633200","","15","108274","2601","","","11/20/02 09:55:01","04/02/03 09:31:31","Password Issued","03/09/17","05/12/20 03:49:52","A","","","","*","*","*","*","*","*","","","","","","","","05/12/20 04:48:14","822909","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Audi Peabody","Audi Peabody - Darwin","252 Andover St","Peabody","MA","01960","USA","8884358897","","25","108535","2113","","","11/01/02 12:46:57","04/02/03 09:23:51","Access Agreement Received","04/02/03","03/18/20 03:49:40","A","","","","*","*","*","*","*","*","","","","","","","","","","*","*","*","*","*","*","*","*","*","*","N","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Audi Atlanta","Audi Atlanta - Darwin","5805 Peachtree Blvd","Atlanta","GA","30341","USA","8774652802","","18","108923","5041","","","08/19/02 14:58:12","06/03/03 12:44:12","Access Agreement Received","05/03/13","03/18/20 03:49:40","A","","","","*","*","*","*","*","*","","","","","","","","09/11/19 04:40:05","507917","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","","*","C","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Jim Ellis Mazda Of Marietta","Jim Ellis Mazda Of Marietta - Darwin","1715 Cobb Parkway Se","Marietta","GA","30060","USA","7705904450","","18","108924","5840","","","02/01/01 14:00:00","05/23/03 14:51:25","Access Agreement Received","05/03/13","03/18/20 03:49:40","A","","","","*","*","*","*","*","*","","","","","","","","11/01/19 04:39:24","793854","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","C","*","C","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Kelly Honda","Kelly Honda - Darwin","540 Lynnway","Lynn","MA","01905","USA","8448379997","","9","109423","3164","","","02/01/01 14:00:00","04/03/03 14:38:36","Access Agreement Received","10/14/10","05/07/20 03:44:16","A","","","","*","*","*","*","*","*","","","","","","","","05/07/20 04:42:39","792194","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","A","*","I","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Kelly Nissan Of Lynnfield","Kelly Nissan Of Lynnfield - Darwin","275 Broadway","Lynnfield","MA","01940","USA","7815981234","","15","109437","3162","","","02/01/01 14:00:00","04/07/03 12:28:47","Access Agreement Received","04/07/03","05/07/20 03:44:16","A","","","","*","*","*","*","*","*","","","","","","","","05/07/20 04:42:39","792137","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Kuni Bmw","Kuni Bmw - Darwin","10999 Sw Canyon Road","Beaverton","OR","97005","USA","5038280936","","30","109759","2452","","","05/29/02 16:08:26","07/08/03 11:16:22","Access Agreement Received","01/27/10","04/30/20 03:53:20","A","","","","*","*","*","*","*","*","","","","","","","","04/30/20 04:53:38","637952","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Kuni Auto Center","Kuni Auto Center - Darwin","3725 Sw Cedar Hills Blvd","Beaverton","CO","97005","USA","5039285670","","12","109760","2515","","","02/01/01 14:00:00","02/28/20 13:10:04","Access Agreement Received","02/28/20","04/30/20 03:53:20","A","","","","*","*","*","*","*","*","","","","","","","","05/05/20 12:51:54","637958","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Sussman Hyundai","Sussman Hyundai - Darwin","1645 Easton Road","Willow Grove","PA","19090","USA","2153929020","","0","109904","4145","","","","","Reactivate","02/22/18","05/21/20 03:50:23","A","","","","*","*","*","*","*","*","","","","","","","","05/21/20 18:24:11","110947","*","*","*","*","*","*","*","*","*","*","","","Auto","04/14/12 03:10:12","09/26/13 08:00:55","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","","Yes"
